epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
0,0.88974,0.57699,0.11831,0.44509,0.18549,0.25926,0.10938,0.88199,0.95516,0.91712,7.84314,0.06639,0.04004,0.02635
1,0.91330,0.55805,0.11378,0.51824,0.18613,0.24299,0.15294,0.88187,0.92993,0.90526,12.94118,0.06507,0.03915,0.02593
2,0.92076,0.57186,0.11729,0.53685,0.19223,0.21739,0.18116,0.88180,0.90354,0.89254,15.29412,0.06385,0.03834,0.02551
3,0.92485,0.58594,0.12091,0.54516,0.19772,0.19565,0.21204,0.88168,0.87073,0.87617,18.43137,0.06264,0.03753,0.02511
4,0.92790,0.59779,0.12463,0.55253,0.20322,0.18576,0.24590,0.88235,0.83993,0.86062,20.00000,0.06144,0.03672,0.02472
5,0.93040,0.60817,0.12831,0.55935,0.20860,0.18172,0.27441,0.88329,0.81632,0.84848,22.54902,0.06032,0.03598,0.02434
6,0.93239,0.61740,0.13169,0.56477,0.21347,0.18031,0.29571,0.88422,0.80004,0.84003,25.29412,0.05930,0.03534,0.02396
7,0.93399,0.62588,0.13479,0.56877,0.21784,0.17794,0.31017,0.88458,0.78674,0.83280,24.70588,0.05830,0.03471,0.02359
8,0.93552,0.63326,0.13790,0.57359,0.22225,0.17767,0.32456,0.88533,0.77636,0.82727,25.68627,0.05735,0.03413,0.02322
9,0.93696,0.63955,0.14089,0.57893,0.22655,0.17846,0.33694,0.88621,0.76902,0.82346,30.58824,0.05648,0.03362,0.02286
10,0.93832,0.64524,0.14383,0.58438,0.23077,0.18107,0.35053,0.88759,0.76385,0.82108,30.98039,0.05557,0.03306,0.02250
11,0.93961,0.65030,0.14667,0.59002,0.23487,0.18388,0.36179,0.88890,0.76078,0.81987,32.74510,0.05475,0.03259,0.02215
12,0.94096,0.65485,0.14961,0.59661,0.23917,0.18552,0.36826,0.88967,0.75909,0.81921,36.07843,0.05394,0.03213,0.02181
13,0.94232,0.65897,0.15256,0.60366,0.24351,0.18892,0.37587,0.89090,0.75951,0.81997,38.23529,0.05315,0.03168,0.02148
14,0.94363,0.66278,0.15545,0.61069,0.24777,0.19254,0.38372,0.89219,0.76016,0.82090,38.82353,0.05244,0.03129,0.02115
15,0.94491,0.66642,0.15832,0.61770,0.25199,0.19618,0.39117,0.89346,0.76109,0.82198,39.01961,0.05175,0.03092,0.02083
16,0.94606,0.66996,0.16103,0.62395,0.25595,0.19914,0.39659,0.89444,0.76224,0.82307,40.98039,0.05102,0.03051,0.02051
17,0.94715,0.67353,0.16374,0.62989,0.25988,0.20259,0.40300,0.89560,0.76350,0.82429,41.37255,0.05036,0.03016,0.02020
18,0.94817,0.67706,0.16638,0.63537,0.26367,0.20566,0.40872,0.89662,0.76463,0.82538,42.54902,0.04971,0.02981,0.01990
19,0.94907,0.68055,0.16887,0.64007,0.26720,0.20864,0.41386,0.89758,0.76593,0.82654,42.15686,0.04915,0.02955,0.01961
20,0.94992,0.68392,0.17129,0.64448,0.27062,0.21146,0.41896,0.89850,0.76704,0.82758,43.33333,0.04863,0.02931,0.01932
21,0.95070,0.68726,0.17366,0.64852,0.27393,0.21410,0.42314,0.89931,0.76836,0.82870,43.52941,0.04798,0.02894,0.01903
22,0.95143,0.69057,0.17597,0.65219,0.27713,0.21677,0.42738,0.90013,0.76970,0.82982,44.11765,0.04754,0.02878,0.01875
23,0.95214,0.69387,0.17831,0.65582,0.28036,0.21883,0.43006,0.90070,0.77104,0.83084,43.52941,0.04691,0.02843,0.01848
24,0.95278,0.69701,0.18052,0.65905,0.28338,0.22055,0.43213,0.90116,0.77222,0.83172,45.09804,0.04644,0.02823,0.01821
