cluster_idx,centroid,population
0,10gs,4
1,1a08,9
2,1mjj,33
3,1ajv,116
4,1a42,44
5,1a4r,1
6,1tng,197
7,1a69,4
8,1a7x,10
9,1a8i,1
10,1a99,1
11,1abf,8
12,1ndv,7
13,1hmr,8
14,1ado,1
15,1af2,3
16,1af6,1
17,1afk,16
18,1agm,3
19,1ai4,6
20,1aj6,2
21,1alw,1
22,1yc1,5
23,1ent,17
24,1atl,1
25,1awi,1
26,1ax0,4
27,1b05,29
28,1b11,5
29,1b38,18
30,1b55,1
31,1b74,1
32,1b8o,8
33,1hfs,21
34,1nje,15
35,1bq4,1
36,1br6,1
37,1bxr,1
38,1byk,1
39,1nwl,28
40,1bzy,1
41,1cbx,8
42,1cea,3
43,1cet,1
44,1ch8,1
45,1q95,6
46,1d2e,1
47,1d5r,1
48,1db1,2
49,1rnt,5
50,1sld,15
51,1dfo,1
52,1dhi,4
53,1dqn,1
54,1dqx,1
55,2dri,4
56,1dud,1
57,1duv,1
58,1h46,4
59,1g85,4
60,1e2k,2
61,1e3v,3
62,2g5u,5
63,1h23,8
64,1e6q,2
65,1ec9,2
66,1efy,1
67,1egh,2
68,1eix,1
69,1elr,1
70,1erb,2
71,1ew8,2
72,1ex8,1
73,1ez9,1
74,1f2o,3
75,1q65,10
76,1f8a,1
77,1f9g,1
78,1fao,1
79,1fch,1
80,1fcx,5
81,1fh7,8
82,1fj4,1
83,1fkn,4
84,1fm9,1
85,1fo0,7
86,1fq5,4
87,1ftm,10
88,1fv0,7
89,1fwu,2
90,1fzq,1
91,1g7v,2
92,1g98,2
93,1g9r,2
94,1gar,2
95,1gcz,2
96,1gni,4
97,1gny,1
98,1grp,1
99,1gu1,3
100,1gwv,2
101,1gyx,2
102,1gz3,2
103,1h0a,1
104,1h1d,1
105,1hi3,6
106,1h2t,1
107,1h6h,1
108,1hlk,1
109,1hnn,1
110,1hp0,2
111,1hqg,2
112,1hyo,1
113,1i5r,1
114,1icj,2
115,1igb,2
116,1ii5,1
117,1iih,7
118,1ikt,1
119,1imx,1
120,1jak,1
121,2i3h,3
122,1u2y,6
123,1jlr,2
124,1jn2,1
125,1joc,1
126,2aov,4
127,1jqy,2
128,1jt1,1
129,1nc1,5
130,1jzs,1
131,1k1y,1
132,1kc7,1
133,1kdk,1
134,1kjr,1
135,1kll,1
136,1kmy,2
137,2c92,4
138,1xgi,5
