PDBID,cluster_idx
10gs,0
11gs,0
1a08,1
1a0q,2
1a1b,1
1a1c,1
1a1e,1
1a30,3
1a42,4
1a4k,2
1a4r,5
1a4w,6
1a69,7
1a7x,8
1a8i,9
1a94,3
1a99,10
1a9m,3
1aaq,3
1abf,11
1add,12
1adl,13
1ado,14
1af2,15
1af6,16
1afk,17
1afl,17
1agm,18
1ai4,19
1ai5,19
1ai7,19
1aid,3
1aj6,20
1aj7,2
1ajn,19
1ajp,19
1ajq,19
1ajv,3
1ajx,3
1alw,21
1amw,22
1apb,11
1apv,23
1apw,23
1atl,24
1avn,4
1awi,25
1ax0,26
1axz,26
1b05,27
1b0h,27
1b11,28
1b1h,27
1b2h,27
1b32,27
1b38,29
1b39,29
1b3f,27
1b3g,27
1b3h,27
1b3l,27
1b40,27
1b46,27
1b4h,27
1b4z,27
1b51,27
1b52,27
1b55,30
1b58,27
1b5h,27
1b5i,27
1b5j,27
1b6h,27
1b6j,3
1b6k,3
1b6l,3
1b6m,3
1b74,31
1b7h,27
1b8n,32
1b8o,32
1b8y,33
1b9j,27
1bai,3
1bap,11
1bcd,4
1bcu,6
1bdq,3
1bgq,22
1bhf,1
1bhx,6
1bma,6
1bn1,4
1bn3,4
1bn4,4
1bnn,4
1bnq,4
1bnt,4
1bnu,4
1bnv,4
1bnw,4
1bp0,34
1bq4,35
1br6,36
1bra,6
1bv7,3
1bv9,3
1bwa,3
1bwb,3
1bxo,23
1bxq,23
1bxr,37
1byk,38
1bzc,39
1bzh,39
1bzj,39
1bzy,40
1c1r,6
1c1u,6
1c1v,6
1c3x,32
1c4u,6
1c4v,6
1c5c,2
1c5n,6
1c5o,6
1c5p,6
1c5q,6
1c5s,6
1c5t,6
1c5x,6
1c5y,6
1c5z,6
1c70,3
1c83,39
1c84,39
1c86,39
1c87,39
1c88,39
1caq,33
1cbx,41
1ce5,6
1cea,42
1ceb,42
1cet,43
1cgl,33
1ch8,44
1cil,4
1cim,4
1cin,4
1ciz,33
1cnw,4
1cnx,4
1cny,4
1cps,41
1ct8,2
1ctt,15
1ctu,15
1d09,45
1d2e,46
1d3d,6
1d3p,6
1d4k,3
1d4l,3
1d4p,6
1d4y,3
1d5r,47
1d6v,2
1d6w,6
1d7i,8
1d7j,8
1d9i,6
1db1,48
1det,49
1df8,50
1dfo,51
1dhi,52
1dhj,52
1dif,3
1dl7,2
1dmp,3
1dqn,53
1dqx,54
1drj,55
1drk,55
1dud,56
1duv,57
1dy4,58
1dzk,59
1e1v,29
1e1x,29
1e2k,60
1e2l,60
1e3v,61
1e4h,62
1e5a,62
1e66,63
1e6q,64
1e6s,64
1ec9,65
1ecq,65
1ecv,39
1efy,66
1egh,67
1eix,68
1ejn,6
1ela,6
1elb,6
1elc,6
1eld,6
1ele,6
1elr,69
1ent,23
1epo,23
1erb,70
1ew8,71
1ew9,71
1ex8,72
1ez9,73
1ezq,6
1f0r,6
1f0s,6
1f0t,6
1f0u,6
1f2o,74
1f2p,74
1f3e,75
1f4e,34
1f4f,34
1f4g,34
1f4x,2
1f57,41
1f5k,6
1f5l,6
1f8a,76
1f9g,77
1fao,78
1fch,79
1fcx,80
1fcy,80
1fcz,80
1fd0,80
1fdq,13
1fh7,81
1fh8,81
1fh9,81
1fhd,81
1fiv,28
1fj4,82
1fjs,6
1fkb,8
1fkf,8
1fkg,8
1fkh,8
1fki,8
1fkn,83
1fkw,12
1fl3,2
1flr,2
1fm9,84
1fo0,85
1fpc,6
1fq5,86
1ftm,87
1fv0,88
1fwu,89
1fwv,89
1fzj,85
1fzk,85
1fzm,85
1fzo,85
1fzq,90
1g1d,4
1g2k,3
1g2l,6
1g2o,32
1g30,6
1g32,6
1g35,3
1g36,6
1g3b,6
1g3c,6
1g3d,6
1g3e,6
1g45,4
1g46,4
1g48,4
1g4j,4
1g4o,4
1g52,4
1g53,4
1g54,4
1g7f,39
1g7g,39
1g7q,85
1g7v,91
1g85,59
1g98,92
1g9r,93
1ga8,93
1gaf,2
1gah,18
1gai,18
1gar,94
1gcz,95
1ghv,6
1ghw,6
1ghy,6
1ghz,6
1gi1,6
1gi4,6
1gi6,6
1gi7,6
1gi8,6
1gi9,6
1gj4,6
1gj6,6
1gj7,6
1gj8,6
1gja,6
1gjb,6
1gjc,6
1gjd,6
1gni,96
1gnm,3
1gnn,3
1gno,3
1gny,97
1gpk,63
1gpn,63
1grp,98
1gt1,59
1gu1,99
1gvw,23
1gvx,23
1gwv,100
1gyx,101
1gyy,101
1gz3,102
1gz4,102
1gz9,26
1gzc,26
1h0a,103
1h1d,104
1h1h,105
1h1p,29
1h1s,29
1h22,63
1h23,63
1h2t,106
1h46,58
1h4w,6
1h6h,107
1h9z,96
1ha2,96
1hbv,3
1heg,3
1hfs,33
1hi3,105
1hi4,105
1hi5,105
1hih,3
1hii,3
1hk4,96
1hlk,108
1hmr,13
1hms,13
1hmt,13
1hn2,59
1hnn,109
1hos,3
1hp0,110
1hpo,3
1hps,3
1hpv,3
1hpx,3
1hqg,111
1hsh,3
1hvh,3
1hvi,3
1hvj,3
1hvk,3
1hvl,3
1hvr,3
1hvs,3
1hwr,3
1hxb,3
1hxw,3
1hyo,112
1i00,34
1i5r,113
1i7z,2
1i80,32
1i9l,4
1i9m,4
1i9n,4
1i9o,4
1i9p,4
1i9q,4
1icj,114
1if7,4
1if8,4
1igb,115
1igj,2
1ii5,116
1iih,117
1iiq,3
1ik4,67
1ikt,118
1imx,119
1is0,1
1iy7,41
1izh,3
1izi,3
1j01,81
1j14,6
1j16,6
1j17,6
1j4r,8
1jak,120
1jao,33
1jaq,33
1jcx,91
1jd5,121
1jet,27
1jeu,27
1jev,27
1jfh,122
1jgl,2
1jlr,123
1jmf,34
1jmg,34
1jmi,34
1jn2,124
1jn4,17
1joc,125
1jq8,88
1jq9,88
1jqd,126
1jqe,126
1jqy,127
1jt1,128
1jwt,6
1jyq,1
1jys,129
1jzs,130
1k1i,6
1k1j,6
1k1l,6
1k1m,6
1k1n,6
1k1y,131
1k21,6
1k22,6
